t,q1,q2,q3,q4,q5,q6,q7,qp1,qp2,qp3,qp4,qp5,qp6,qp7,xd,yd,zd,vxd,vyd,vzd,wxd,wyd,wzd,x,y,z,vx,vy,vz,wx,wy,wz
3.8e-06,-1.58559e-14,-1.10828,-6.02058e-15,2.21657,3.05839e-14,0.610865,-3.31224e-14,-4.1726e-09,-5.91159e-07,-1.58436e-09,1.38184e-06,8.04839e-09,-7.90676e-07,-8.71642e-09,0,0,0,0,0,-4.45005e-07,0,0,0,0.0702507,-0.0246,0.588057,0,0,0,0,0,0
0.0016283,-1.7057e-08,-1.10828,-6.47667e-09,2.21657,3.29007e-08,0.610864,-3.56316e-08,-1.04999e-05,0.000538823,-3.98687e-06,8.25383e-05,2.02528e-05,-0.000621362,-2.19339e-05,0,0,0,0.00018859,0,2.8185e-05,0,0,0,0.0702511,-0.0246,0.588057,0,0,0,0,0,0
0.0026284,-3.40076e-08,-1.10828,-1.29128e-08,2.21657,6.55961e-08,0.610863,-7.10407e-08,-1.69488e-05,0.000869769,-6.43553e-06,0.00013323,3.26921e-05,-0.001003,-3.54055e-05,0,0,0,0.000304422,0,4.54968e-05,0,0,0,0.0702514,-0.0246,0.588057,0,0,0,0,0,0
0.0036285,-5.74076e-08,-1.10828,-2.17979e-08,2.21657,1.10732e-07,0.610862,-1.19923e-07,-2.33977e-05,0.00120072,-8.88414e-06,0.000183919,4.51312e-05,-0.00138463,-4.88772e-05,0,0,0,0.000420254,0,6.28095e-05,0,0,0,0.0702518,-0.0246,0.588057,0,0,0,0,0,0
0.0046286,-8.72571e-08,-1.10828,-3.31317e-08,2.21657,1.68308e-07,0.61086,-1.82278e-07,-2.98465e-05,0.00153166,-1.13327e-05,0.000234601,5.75704e-05,-0.00176627,-6.23487e-05,0,0,0,0.000536085,0,8.01238e-05,0,0,0,0.0702523,-0.0246,0.588057,0,0,0,0,0,0
0.0056288,-1.2356e-07,-1.10828,-4.69157e-08,2.21657,2.38333e-07,0.610858,-2.58114e-07,-3.62958e-05,0.00186265,-1.37813e-05,0.00028528,7.00107e-05,-0.00214793,-7.58214e-05,0,0,0,0.000651928,0,9.74418e-05,0,0,0,0.070253,-0.0246,0.588057,0,0,0,0,0,0
0.00683,-1.76462e-07,-1.10828,-6.7002e-08,2.21657,3.40376e-07,0.610855,-3.68626e-07,-4.4041e-05,0.00226015,-1.67219e-05,0.000346135,8.49508e-05,-0.00260629,-9.20014e-05,0,0,0,0.00079105,0,0.000118242,0,0,0,0.0702539,-0.0246,0.588057,0,0,0,0,0,0
0.0078302,-2.26962e-07,-1.10827,-8.61759e-08,2.21657,4.37786e-07,0.610852,-4.74121e-07,-5.04898e-05,0.00259114,-1.91701e-05,0.000396784,9.73908e-05,-0.00298793,-0.000105474,0,0,0,0.000906892,0,0.000135568,0,0,0,0.0702548,-0.0246,0.588057,0,0,0,0,0,0
0.009426,-3.23953e-07,-1.10827,-1.23001e-07,2.21657,6.24875e-07,0.610846,-6.76737e-07,-6.07789e-05,0.00311924,-2.30762e-05,0.000477601,0.000117239,-0.00359684,-0.000126968,0,0,0,0.00109172,0,0.000163208,0,0,0,0.0702566,-0.0246,0.588058,0,0,0,0,0,0
0.0104261,-3.91186e-07,-1.10826,-1.48527e-07,2.21657,7.54565e-07,0.610842,-8.17189e-07,-6.72259e-05,0.00345022,-2.55231e-05,0.000528176,0.000129677,-0.00397839,-0.000140438,0,0,0,0.00120754,0,0.000180549,0,0,0,0.0702578,-0.0246,0.588058,0,0,0,0,0,0
0.0114262,-4.64866e-07,-1.10826,-1.765e-07,2.21657,8.96694e-07,0.610838,-9.71112e-07,-7.36731e-05,0.0037812,-2.79702e-05,0.000578763,0.000142115,-0.00435996,-0.000153908,0,0,0,0.00132337,0,0.000197887,0,0,0,0.0702591,-0.0246,0.588058,0,0,0,0,0,0
0.0125769,-5.58177e-07,-1.10826,-2.11924e-07,2.21657,1.07669e-06,0.610832,-1.16605e-06,-8.1091e-05,0.00416202,-3.07856e-05,0.000636954,0.000156426,-0.00479897,-0.000169406,0,0,0,0.00145664,0,0.000217839,0,0,0,0.0702608,-0.0246,0.588058,0,0,0,0,0,0
0.0137956,-6.66577e-07,-1.10825,-2.53076e-07,2.21657,1.2858e-06,0.610826,-1.3925e-06,-8.89467e-05,0.00456536,-3.37667e-05,0.000698545,0.000171582,-0.00526391,-0.000185819,0,0,0,0.00159778,0,0.000238979,0,0,0,0.0702627,-0.0246,0.588059,0,0,0,0,0,0
0.0147957,-7.61979e-07,-1.10824,-2.89292e-07,2.21657,1.46984e-06,0.61082,-1.59181e-06,-9.53922e-05,0.00489637,-3.62122e-05,0.000749023,0.000184019,-0.0056454,-0.000199287,0,0,0,0.00171361,0,0.000256344,0,0,0,0.0702644,-0.0246,0.588059,0,0,0,0,0,0
0.0158078,-8.65127e-07,-1.10824,-3.28447e-07,2.21657,1.66882e-06,0.610814,-1.8073e-06,-0.000101915,0.00523136,-3.8687e-05,0.000800106,0.000196605,-0.00603146,-0.000212916,0,0,0,0.00183082,0,0.000273918,0,0,0,0.0702663,-0.0246,0.588059,0,0,0,0,0,0
0.0168079,-9.73498e-07,-1.10823,-3.69583e-07,2.21658,1.87788e-06,0.610808,-2.03371e-06,-0.00010836,0.00556238,-4.1132e-05,0.000850548,0.000209041,-0.00641293,-0.000226383,0,0,0,0.00194664,0,0.000291292,0,0,0,0.0702682,-0.0246,0.588059,0,0,0,0,0,0
0.017808,-1.08831e-06,-1.10823,-4.13164e-07,2.21658,2.09938e-06,0.610801,-2.27358e-06,-0.000114804,0.00589342,-4.35765e-05,0.00090096,0.000221478,-0.00679438,-0.00023985,0,0,0,0.00206247,0,0.000308673,0,0,0,0.0702703,-0.0246,0.58806,0,0,0,0,0,0
0.0188082,-1.20959e-06,-1.10822,-4.59194e-07,2.21658,2.33334e-06,0.610794,-2.52695e-06,-0.000121249,0.00622449,-4.60207e-05,0.000951341,0.000233915,-0.00717583,-0.000253317,0,0,0,0.0021783,0,0.000326066,0,0,0,0.0702725,-0.0246,0.58806,0,0,0,0,0,0
0.0198083,-1.33729e-06,-1.10822,-5.07663e-07,2.21658,2.57972e-06,0.610786,-2.79376e-06,-0.000127692,0.00655555,-4.84642e-05,0.00100168,0.00024635,-0.00755723,-0.000266783,0,0,0,0.00229412,0,0.000343465,0,0,0,0.0702748,-0.0246,0.58806,0,0,0,0,0,0
0.0208084,-1.47144e-06,-1.10821,-5.58575e-07,2.21658,2.83853e-06,0.610778,-3.07404e-06,-0.000134135,0.00688662,-5.09071e-05,0.00105198,0.000258785,-0.0079386,-0.000280248,0,0,0,0.00240993,0,0.000360874,0,0,0,0.0702772,-0.0246,0.588061,0,0,0,0,0,0
0.0218085,-1.61203e-06,-1.1082,-6.1193e-07,2.21658,3.10978e-06,0.61077,-3.36778e-06,-0.000140577,0.0072177,-5.33493e-05,0.00110224,0.00027122,-0.00831994,-0.000293712,0,0,0,0.00252575,0,0.000378294,0,0,0,0.0702797,-0.0246,0.588061,0,0,0,0,0,0
0.0228086,-1.75906e-06,-1.10819,-6.67726e-07,2.21658,3.39346e-06,0.610761,-3.67498e-06,-0.000147018,0.0075488,-5.5791e-05,0.00115246,0.000283654,-0.00870125,-0.000307175,0,0,0,0.00264156,0,0.000395724,0,0,0,0.0702823,-0.0246,0.588061,0,0,0,0,0,0
0.0238088,-1.91256e-06,-1.10819,-7.2597e-07,2.21658,3.68961e-06,0.610752,-3.99569e-06,-0.00015346,0.00787994,-5.82322e-05,0.00120263,0.000296089,-0.00908257,-0.000320639,0,0,0,0.00275739,0,0.000413168,0,0,0,0.0702851,-0.0246,0.588062,0,0,0,0,0,0
0.0248089,-2.07247e-06,-1.10818,-7.86649e-07,2.21658,3.99816e-06,0.610743,-4.32982e-06,-0.0001599,0.00821106,-6.06725e-05,0.00125276,0.000308522,-0.00946382,-0.0003341,0,0,0,0.0028732,0,0.000430621,0,0,0,0.070288,-0.0246,0.588062,0,0,0,0,0,0
0.0258091,-2.23884e-06,-1.10817,-8.49774e-07,2.21659,4.31918e-06,0.610733,-4.67745e-06,-0.00016634,0.00854223,-6.31124e-05,0.00130284,0.000320955,-0.00984507,-0.000347562,0,0,0,0.00298902,0,0.000448088,0,0,0,0.070291,-0.0246,0.588063,0,0,0,0,0,0
0.0268092,-2.41164e-06,-1.10816,-9.15332e-07,2.21659,4.6526e-06,0.610723,-5.03851e-06,-0.000172778,0.00887339,-6.55512e-05,0.00135286,0.000333387,-0.0102262,-0.000361022,0,0,0,0.00310482,0,0.000465567,0,0,0,0.0702941,-0.0246,0.588063,0,0,0,0,0,0
0.0278094,-2.59089e-06,-1.10815,-9.83335e-07,2.21659,4.99849e-06,0.610712,-5.41307e-06,-0.000179216,0.00920459,-6.79895e-05,0.00140284,0.00034582,-0.0106074,-0.000374482,0,0,0,0.00322064,0,0.00048306,0,0,0,0.0702973,-0.0246,0.588064,0,0,0,0,0,0
0.0288164,-2.77789e-06,-1.10814,-1.05427e-06,2.21659,5.35933e-06,0.610701,-5.80382e-06,-0.000185697,0.00953807,-7.04437e-05,0.0014531,0.000358337,-0.0109912,-0.000388033,0,0,0,0.00333724,0,0.000500686,0,0,0,0.0703007,-0.0246,0.588064,0,0,0,0,0,0
0.0301703,-3.0411e-06,-1.10813,-1.15411e-06,2.21659,5.86727e-06,0.610685,-6.35384e-06,-0.000194413,0.00998638,-7.37448e-05,0.00152079,0.000375166,-0.0115072,-0.000406254,0,0,0,0.00349402,0,0.000524355,0,0,0,0.0703054,-0.0246,0.588065,0,0,0,0,0,0
0.0311704,-3.24197e-06,-1.10812,-1.2303e-06,2.21659,6.2549e-06,0.610673,-6.77359e-06,-0.000200844,0.0103177,-7.61769e-05,0.00157035,0.000387593,-0.011888,-0.000419706,0,0,0,0.00360981,0,0.000541948,0,0,0,0.070309,-0.0246,0.588065,0,0,0,0,0,0
0.0321705,-3.44926e-06,-1.10811,-1.30892e-06,2.2166,6.65497e-06,0.610661,-7.20679e-06,-0.000207277,0.0106489,-7.86113e-05,0.00162007,0.000400022,-0.012269,-0.00043316,0,0,0,0.0037256,0,0.000559504,0,0,0,0.0703127,-0.0246,0.588066,0,0,0,0,0,0
0.0331706,-3.663e-06,-1.1081,-1.38997e-06,2.2166,7.06746e-06,0.610648,-7.65345e-06,-0.00021371,0.0109802,-8.10447e-05,0.00166972,0.00041245,-0.0126499,-0.000446613,0,0,0,0.00384139,0,0.000577075,0,0,0,0.0703166,-0.0246,0.588067,0,0,0,0,0,0
0.0341707,-3.88316e-06,-1.10808,-1.47346e-06,2.2166,7.49238e-06,0.610635,-8.11356e-06,-0.000220141,0.0113115,-8.34771e-05,0.0017193,0.000424877,-0.0130308,-0.000460065,0,0,0,0.00395718,0,0.000594664,0,0,0,0.0703205,-0.0246,0.588067,0,0,0,0,0,0
0.0351708,-4.10975e-06,-1.10807,-1.55937e-06,2.2166,7.92972e-06,0.610622,-8.58713e-06,-0.000226571,0.0116428,-8.59086e-05,0.00176882,0.000437304,-0.0134116,-0.000473516,0,0,0,0.00407297,0,0.000612269,0,0,0,0.0703246,-0.0246,0.588068,0,0,0,0,0,0
0.036171,-4.3428e-06,-1.10806,-1.64773e-06,2.2166,8.37954e-06,0.610608,-9.07419e-06,-0.000233001,0.0119742,-8.83393e-05,0.00181827,0.000449731,-0.0137924,-0.000486967,0,0,0,0.00418877,0,0.000629893,0,0,0,0.0703288,-0.0246,0.588068,0,0,0,0,0,0
0.0371711,-4.58225e-06,-1.10805,-1.73851e-06,2.2166,8.84175e-06,0.610594,-9.57466e-06,-0.000239429,0.0123055,-9.07686e-05,0.00186764,0.000462156,-0.0141732,-0.000500415,0,0,0,0.00430455,0,0.000647534,0,0,0,0.0703331,-0.0246,0.588069,0,0,0,0,0,0
0.0381712,-4.82813e-06,-1.10804,-1.83171e-06,2.21661,9.31637e-06,0.610579,-1.00886e-05,-0.000245856,0.0126369,-9.31969e-05,0.00191694,0.00047458,-0.0145539,-0.000513862,0,0,0,0.00442033,0,0.000665194,0,0,0,0.0703375,-0.0246,0.58807,0,0,0,0,0,0
0.0391713,-5.08044e-06,-1.10802,-1.92735e-06,2.21661,9.80343e-06,0.610565,-1.06159e-05,-0.000252282,0.0129683,-9.56241e-05,0.00196616,0.000487003,-0.0149345,-0.000527308,0,0,0,0.00453611,0,0.000682872,0,0,0,0.070342,-0.0246,0.58807,0,0,0,0,0,0
0.0401714,-5.33917e-06,-1.10801,-2.02541e-06,2.21661,1.03029e-05,0.610549,-1.11567e-05,-0.000258706,0.0132998,-9.80502e-05,0.00201531,0.000499426,-0.0153151,-0.000540752,0,0,0,0.00465188,0,0.00070057,0,0,0,0.0703467,-0.0246,0.588071,0,0,0,0,0,0
0.0411715,-5.60433e-06,-1.108,-2.12589e-06,2.21661,1.08148e-05,0.610534,-1.1711e-05,-0.00026513,0.0136312,-0.000100475,0.00206437,0.000511847,-0.0156956,-0.000554195,0,0,0,0.00476765,0,0.000718288,0,0,0,0.0703515,-0.0246,0.588072,0,0,0,0,0,0
