t,q1,q2,q3,q4,q5,q6,q7,qp1,qp2,qp3,qp4,qp5,qp6,qp7,xd,yd,zd,vxd,vyd,vzd,wxd,wyd,wzd,x,y,z,vx,vy,vz,wx,wy,wz
1.8e-06,2.16564e-14,-1.10828,8.22308e-15,2.21657,-4.17723e-14,0.610865,4.52395e-14,1.20313e-08,-5.60406e-07,4.56838e-09,-1.90079e-07,-2.32068e-08,7.50485e-07,2.51331e-08,0,0,0,-2.10792e-07,0,4.99874e-19,0,0,0,0.0702507,-0.0246,0.588057,0,0,0,0,0,0
0.0016986,1.92648e-08,-1.10828,7.31496e-09,2.21657,-3.71592e-08,0.610866,4.02435e-08,1.13536e-05,-0.000528836,4.31103e-06,-0.000179372,-2.18995e-05,0.000708209,2.37172e-05,0,0,0,-0.000198917,0,4.20065e-10,0,0,0,0.0702504,-0.0246,0.588057,0,0,0,0,0,0
0.0028573,4.13942e-08,-1.10829,1.57177e-08,2.21657,-7.98438e-08,0.610868,8.6471e-08,1.90985e-05,-0.000889579,7.25187e-06,-0.000301736,-3.68383e-05,0.00119132,3.9896e-05,0,0,0,-0.000334609,0,1.99945e-09,0,0,0,0.07025,-0.0246,0.588057,0,0,0,0,0,0
0.0038574,6.71802e-08,-1.10829,2.55089e-08,2.21657,-1.29581e-07,0.610869,1.40337e-07,2.57834e-05,-0.00120094,9.79026e-06,-0.000407357,-4.97324e-05,0.0016083,5.38604e-05,0,0,0,-0.000451727,0,4.91957e-09,0,0,0,0.0702496,-0.0246,0.588057,0,0,0,0,0,0
0.0048576,9.96558e-08,-1.10829,3.78404e-08,2.21657,-1.92221e-07,0.610871,2.08176e-07,3.24691e-05,-0.00151233,1.2329e-05,-0.000512996,-6.26277e-05,0.00202533,6.78262e-05,0,0,0,-0.000568857,0,9.82446e-09,0,0,0,0.070249,-0.0246,0.588057,0,0,0,0,0,0
0.0058577,1.38814e-07,-1.10829,5.27095e-08,2.21657,-2.67751e-07,0.610874,2.89975e-07,3.91542e-05,-0.00182369,1.48676e-05,-0.000618633,-7.55219e-05,0.00244232,8.17907e-05,0,0,0,-0.000685976,0,1.72276e-08,0,0,0,0.0702483,-0.0246,0.588057,0,0,0,0,0,0
0.0069593,1.90058e-07,-1.10829,7.21682e-08,2.21657,-3.66591e-07,0.610877,3.97021e-07,4.65179e-05,-0.00216664,1.7664e-05,-0.000735005,-8.97247e-05,0.00290164,9.71726e-05,0,0,0,-0.00081498,0,2.88895e-08,0,0,0,0.0702474,-0.0246,0.588057,0,0,0,0,0,0
0.0079594,2.43267e-07,-1.1083,9.23732e-08,2.21656,-4.69221e-07,0.61088,5.08169e-07,5.32035e-05,-0.00247798,2.0203e-05,-0.000840669,-0.000102619,0.00331865,0.000111137,0,0,0,-0.000932099,0,4.32199e-08,0,0,0,0.0702465,-0.0246,0.588057,0,0,0,0,0,0
0.0089595,3.03162e-07,-1.1083,1.15118e-07,2.21656,-5.84745e-07,0.610884,6.33284e-07,5.98892e-05,-0.00278931,2.27422e-05,-0.000946348,-0.000115513,0.00373566,0.000125102,0,0,0,-0.00104922,0,6.16445e-08,0,0,0,0.0702454,-0.0246,0.588057,0,0,0,0,0,0
0.0099596,3.69744e-07,-1.1083,1.40402e-07,2.21656,-7.13166e-07,0.610888,7.72365e-07,6.65751e-05,-0.00310064,2.52816e-05,-0.00105204,-0.000128408,0.00415268,0.000139068,0,0,0,-0.00116634,0,8.46777e-08,0,0,0,0.0702443,-0.0246,0.588057,0,0,0,0,0,0
