t,q1,q2,q3,q4,q5,q6,q7,qp1,qp2,qp3,qp4,qp5,qp6,qp7,xd,yd,zd,vxd,vyd,vzd,wxd,wyd,wzd,x,y,z,vx,vy,vz,wx,wy,wz
3.4e-06,3.12188e-07,-1.10828,-5.47885e-07,2.21657,-2.4313e-07,0.610865,-2.75764e-07,0.0918201,0.00111232,-0.161143,0.00693951,-0.0715089,-0.00805183,-0.0811072,0.0702507,0.0246,0.588057,-3.98163e-07,0,3.36884e-18,0,0,0,0.0702507,-0.0246,0.588057,-3.82504e-07,0.0492,-3.58834e-08,2.29085e-09,5.6332e-08,-2.41315e-09
0.0014917,0.000136982,-1.10828,-0.00024037,2.21658,-0.000106698,0.610854,-0.000120956,0.0918298,0.00064859,-0.161138,0.00678212,-0.0715278,-0.00743077,-0.0810861,0.0702506,0.0246,0.588057,-0.000174688,0,2.84504e-10,0,0,0,0.0702507,-0.0245998,0.588057,-0.000167961,0.0491992,-1.57035e-05,8.46392e-07,2.46597e-05,-1.14039e-06
0.0024919,0.000228701,-1.10828,-0.000401299,2.21658,-0.000178147,0.610847,-0.000201923,0.0916998,0.000326061,-0.160897,0.00663213,-0.0714352,-0.00698287,-0.0809511,0.0702504,0.0246,0.588057,-0.000291818,0,1.32628e-09,0,0,0,0.0702505,-0.0245266,0.588057,-0.000287331,0.0491262,-1.05099e-05,4.94052e-07,1.65238e-05,-7.97261e-07
0.003492,0.000320324,-1.10828,-0.00056205,2.21659,-0.000249532,0.610841,-0.000282788,0.0916146,7.02595e-06,-0.160735,0.00649673,-0.0713773,-0.00654492,-0.0808559,0.07025,0.0246,0.588057,-0.000408936,0,3.64977e-09,0,0,0,0.0702502,-0.0244775,0.588057,-0.000404519,0.0490771,-1.04798e-05,4.20758e-07,1.64898e-05,-8.30285e-07
0.0044922,0.000411872,-1.10828,-0.000722654,2.2166,-0.000320866,0.610835,-0.000363565,0.0915294,-0.000312028,-0.160572,0.00636139,-0.0713194,-0.00610696,-0.0807609,0.0702496,0.0246,0.588057,-0.000526067,0,7.76999e-09,0,0,0,0.0702498,-0.0244284,0.588057,-0.000521718,0.049028,-1.04501e-05,3.47681e-07,1.64592e-05,-8.63396e-07
0.0054923,0.000503325,-1.10828,-0.00088308,2.2166,-0.000392134,0.610829,-0.000444238,0.0914441,-0.000631038,-0.160409,0.00622613,-0.0712616,-0.00566908,-0.0806659,0.070249,0.0246,0.588057,-0.000643185,0,1.42006e-08,0,0,0,0.0702493,-0.0243794,0.588057,-0.000638906,0.048979,-1.04162e-05,2.74681e-07,1.64253e-05,-8.96245e-07
0.0064924,0.000594693,-1.10828,-0.00104334,2.21661,-0.000463345,0.610824,-0.000524817,0.0913589,-0.000950034,-0.160247,0.00609094,-0.0712039,-0.00523123,-0.0805709,0.0702483,0.0246,0.588057,-0.000760303,0,2.34563e-08,0,0,0,0.0702486,-0.0243304,0.588057,-0.000756093,0.04893,-1.03807e-05,2.01855e-07,1.63932e-05,-9.29096e-07
0.0074926,0.000685985,-1.10829,-0.00120346,2.21662,-0.000534506,0.610819,-0.00060531,0.0912736,-0.00126905,-0.160084,0.00595579,-0.0711462,-0.00479336,-0.0804761,0.0702475,0.0246,0.588057,-0.000877433,0,3.6053e-08,0,0,0,0.0702479,-0.0242814,0.588057,-0.000873291,0.0488811,-1.0343e-05,1.29175e-07,1.63627e-05,-9.61962e-07
0.0084927,0.000777183,-1.10829,-0.0013634,2.21662,-0.000605601,0.610814,-0.000685699,0.0911883,-0.00158801,-0.159922,0.00582072,-0.0710885,-0.00435557,-0.0803813,0.0702465,0.0246,0.588057,-0.000994552,0,5.25026e-08,0,0,0,0.070247,-0.0242325,0.588057,-0.000990479,0.0488322,-1.02996e-05,5.66158e-08,1.6329e-05,-9.94546e-07
0.0094928,0.000868295,-1.10829,-0.00152317,2.21663,-0.000676639,0.610811,-0.000765994,0.091103,-0.00190696,-0.159759,0.00568571,-0.071031,-0.0039178,-0.0802867,0.0702455,0.0246,0.588057,-0.00111167,0,7.33206e-08,0,0,0,0.070246,-0.0241837,0.588057,-0.00110767,0.0487834,-1.02529e-05,-1.57908e-08,1.6297e-05,-1.02714e-06
0.0105737,0.000966676,-1.10829,-0.00169568,2.21663,-0.000753356,0.610807,-0.000852672,0.0910182,-0.00225131,-0.159597,0.00554212,-0.0709745,-0.00344601,-0.0801909,0.0702442,0.0246,0.588057,-0.00123825,0,1.01327e-07,0,0,0,0.0702449,-0.0241349,0.588057,-0.00123405,0.0487346,-1.10348e-05,-1.01348e-07,1.75791e-05,-1.14855e-06
0.0117834,0.00107667,-1.1083,-0.00188853,2.21664,-0.000839141,0.610803,-0.000949553,0.0909267,-0.00263657,-0.159421,0.00538254,-0.0709141,-0.00291857,-0.080087,0.0702426,0.0246,0.588057,-0.00137991,0,1.40235e-07,0,0,0,0.0702436,-0.0240822,0.588057,-0.00137539,0.0486819,-1.22952e-05,-2.18728e-07,1.96323e-05,-1.33366e-06
0.0149647,0.00136565,-1.10831,-0.00239505,2.21666,-0.0010646,0.610798,-0.00120388,0.0908358,-0.00364469,-0.159218,0.00500799,-0.0708701,-0.0015553,-0.0799452,0.0702376,0.0246,0.588057,-0.00175247,0,2.87242e-07,0,0,0,0.0702419,-0.0240233,0.588057,-0.00174237,0.0486226,-3.24038e-05,-1.29629e-06,5.1511e-05,-3.86766e-06
0.0166122,0.00151483,-1.10831,-0.00265652,2.21666,-0.00118103,0.610797,-0.00133513,0.0905539,-0.0041742,-0.158706,0.00474382,-0.070668,-0.000812373,-0.0796666,0.0702346,0.0246,0.588057,-0.0019454,0,3.92939e-07,0,0,0,0.0702363,-0.0238687,0.588057,-0.00193975,0.0484683,-1.636e-05,-8.67421e-07,2.65079e-05,-2.07582e-06
0.0180552,0.0016453,-1.10832,-0.00288515,2.21667,-0.00128286,0.610797,-0.00144987,0.0904117,-0.00463469,-0.158439,0.00454397,-0.0705713,-0.000178109,-0.0795145,0.0702317,0.0246,0.588057,-0.00211438,0,5.04487e-07,0,0,0,0.0702331,-0.0237888,0.588057,-0.0021094,0.0483886,-1.4097e-05,-9.08328e-07,2.31423e-05,-1.88286e-06
0.0194287,0.00176931,-1.10833,-0.00310244,2.21668,-0.00137967,0.610797,-0.0015589,0.0902879,-0.00507263,-0.158205,0.00435725,-0.0704881,0.000423829,-0.0793799,0.0702286,0.0246,0.588057,-0.00227523,0,6.286e-07,0,0,0,0.0702301,-0.023719,0.588057,-0.00227054,0.0483188,-1.32156e-05,-9.98691e-07,2.19651e-05,-1.85152e-06
0.0209206,0.00190383,-1.10834,-0.00333814,2.21668,-0.00148472,0.610799,-0.00167713,0.0901711,-0.00554802,-0.157982,0.00415964,-0.0704114,0.00107528,-0.0792494,0.0702251,0.0246,0.588057,-0.00244994,0,7.84812e-07,0,0,0,0.070227,-0.0236526,0.588057,-0.00244514,0.0482524,-1.42137e-05,-1.24254e-06,2.37943e-05,-2.08252e-06
0.0220518,0.00200569,-1.10834,-0.00351657,2.21669,-0.00156427,0.610801,-0.00176663,0.0900412,-0.00590873,-0.157741,0.00399805,-0.0703219,0.00157429,-0.0791147,0.0702223,0.0246,0.588057,-0.00258241,0,9.19127e-07,0,0,0,0.0702233,-0.0235806,0.588057,-0.00257843,0.0481805,-1.03805e-05,-1.03251e-06,1.79883e-05,-1.61693e-06
0.023217,0.00211049,-1.10835,-0.00370016,2.21669,-0.00164613,0.610803,-0.00185869,0.0899446,-0.00627997,-0.157558,0.00384229,-0.0702581,0.00208369,-0.0790083,0.0702192,0.0246,0.588057,-0.00271887,0,1.07266e-06,0,0,0,0.0702204,-0.0235261,0.588057,-0.00271491,0.048126,-1.05392e-05,-1.15928e-06,1.84878e-05,-1.70838e-06
0.0243636,0.00221351,-1.10836,-0.0038806,2.2167,-0.00172662,0.610806,-0.00194915,0.0898447,-0.00664525,-0.157369,0.00368771,-0.0701918,0.00258549,-0.0788997,0.070216,0.0246,0.588057,-0.00285314,0,1.23956e-06,0,0,0,0.0702172,-0.0234701,0.588057,-0.0028493,0.04807,-1.0153e-05,-1.23325e-06,1.81509e-05,-1.72211e-06
0.0256381,0.00232789,-1.10837,-0.00408093,2.2167,-0.001816,0.61081,-0.00204957,0.0897473,-0.00705131,-0.157182,0.00351971,-0.0701285,0.00314183,-0.0787908,0.0702123,0.0246,0.588057,-0.00300239,0,1.44444e-06,0,0,0,0.0702139,-0.0234149,0.588057,-0.00299847,0.0480149,-1.1201e-05,-1.48492e-06,2.01301e-05,-1.96582e-06
